video_id,channel_id,video_title,channel_title,category_name,live_upcoming_none,view_count,like_count,dislike_count,comment_count,published_at,tags,duration,definition,caption,thumbnail,url
9LBUutWsfBc,UCXIJgqnII2ZOINSWNOGFThA,traveling amid the coronavirus outbreak what you need to know,Fox News,News & Politics,none,16967,224,0,128,2020-03-09T17:58:00Z,"health,coronavirus,virus,coronavirus update,travel,travel info,travel during coronavirus,fox news,fox news channel,travelling,fox,news",PT2M14S,hd,FALSE,https://i.ytimg.com/vi/9LBUutWsfBc/default.jpg,https://www.youtube.com/watch?v=9LBUutWsfBc
wqX2PuPTOhM,UCXIJgqnII2ZOINSWNOGFThA,house passes b coronavirus package,Fox News,News & Politics,none,135517,1644,0,335,2020-12-22T02:47:48Z,"Fox News Channel,FNC,Fox News,fox news house,house of reps,house passes covid-19 package,house passes coronavirus package,coronavirus package,900B covid package,fox news breaking news,breaking news",PT5H8M41S,hd,FALSE,https://i.ytimg.com/vi/wqX2PuPTOhM/default.jpg,https://www.youtube.com/watch?v=wqX2PuPTOhM
xhpqX1NbusQ,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,39504,500,0,282,2020-03-16T18:25:52Z,"Fox News Channel,Fox News,News,FNC,harris faulkner,harris faulkner fox news,outnumbered overtime,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus in the us,trump,trump coronavirus,trump coronavirus task force,coronavirus task force,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates,pandemic",PT5M50S,hd,TRUE,https://i.ytimg.com/vi/xhpqX1NbusQ/default.jpg,https://www.youtube.com/watch?v=xhpqX1NbusQ
ebtpY4jZ9ds,UCXIJgqnII2ZOINSWNOGFThA,new study details lifespan of coronavirus in air on surfaces,Fox News,News & Politics,none,90744,1322,0,339,2020-03-19T16:08:27Z,"Fox News Channel,Fox News,News,health,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,viral disease,diseases,white house,coronavirus relief bill,social distancing",PT2M,hd,TRUE,https://i.ytimg.com/vi/ebtpY4jZ9ds/default.jpg,https://www.youtube.com/watch?v=ebtpY4jZ9ds
G6HbxcCb-7g,UCXIJgqnII2ZOINSWNOGFThA,trump declares national emergency over coronavirus,Fox News,News & Politics,none,1870066,21355,0,4674,2020-03-13T20:56:58Z,"Trump,President Trump,Donald Trump,Potus,President,White House,White House news,Trump news,Fox news live,fox news live stream,live stream,fox live,Live updates,live video,Live news,fox live stream,trump remarks,trump remarks live,trump speech,Trump speech live,trump live,trump news,trump today,White House Live,White House Today,White House News,trump press conference,trump news conference,coronavirus,trump coronavirus,bolsonaro",PT1H12M37S,hd,FALSE,https://i.ytimg.com/vi/G6HbxcCb-7g/default.jpg,https://www.youtube.com/watch?v=G6HbxcCb-7g
zFWn5IVLYQk,UCXIJgqnII2ZOINSWNOGFThA,media condemns label chinese coronavirus after using it themselves,Fox News,News & Politics,none,277346,4832,0,2191,2020-03-14T03:36:40Z,"coronavirus,coronavirus media spin,coronavirus news,coronavirus outbreak,coronavirus china,china news,china coronavirus,coronavirus spread,racism,testing kits,docotr,world health organization,WHO,center for disease control,CDC,shannon bream,shannon bream fox news at night,fox news at night,fnc,fox news,fox news channel,fox news media,fox news network,jim acosta chinese coronavirus,chris cuomo chinese coornavirus,jim acosta",PT5M21S,hd,TRUE,https://i.ytimg.com/vi/zFWn5IVLYQk/default.jpg,https://www.youtube.com/watch?v=zFWn5IVLYQk
H9N9M9IjXD0,UCXIJgqnII2ZOINSWNOGFThA,klobucher reacts to trumps handling of the coronavirus pandemic,Fox News,News & Politics,none,159453,1017,0,4349,2020-10-04T20:00:02Z,"Fox News Channel,Fox News,News,health,politics,Fox News Sunday,Amy Klobuchar,Chris Wallace,Coronavirus,Coronavirus treatment,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,coronavirus quarantine,social distancing,coronavirus relief bill,coronavirus peak,coronavirus vaccine,vaccines,medical supplies",PT9M45S,hd,TRUE,https://i.ytimg.com/vi/H9N9M9IjXD0/default.jpg,https://www.youtube.com/watch?v=H9N9M9IjXD0
Oei9_SRfaSw,UCXIJgqnII2ZOINSWNOGFThA,secretary ben carson on efforts to slow the coronavirus pandemic,Fox News,News & Politics,none,174401,2960,0,1063,2020-03-22T01:26:44Z,"politics,Fox News Channel,Fox News,HUD Secretary,Ben Carson,Trump administration,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,viral disease,diseases,social distancing,white house,coronavirus relief bill",PT5M33S,hd,TRUE,https://i.ytimg.com/vi/Oei9_SRfaSw/default.jpg,https://www.youtube.com/watch?v=Oei9_SRfaSw
qLy8ISicMDI,UCXIJgqnII2ZOINSWNOGFThA,navy captain fired for flagging coronavirus outbreak on ship,Fox News,News & Politics,none,591842,5873,0,5193,2020-04-03T15:39:26Z,"Fox News Channel,Fox News,News,politics,breaking news,coronavirus,coronavirus cases,navy,us navy,military,us military,military coronavirus,navy captain,jennifer griffin,covid-19,covid 19,navy coronavirus,navy ship coronavirus,military coronavirus cases,us armed forces,coronavirus news,latest coronavirus,coronavirus updates,USS Theodore Roosevelt,thomas modly,pentagon,coronavirus outbreak,covid-19 updates,coronavirus latest news",PT2M38S,hd,TRUE,https://i.ytimg.com/vi/qLy8ISicMDI/default.jpg,https://www.youtube.com/watch?v=qLy8ISicMDI
fVpbMvz2auY,UCXIJgqnII2ZOINSWNOGFThA,trump delivers message to americas children during coronavirus pandemic,Fox News,News & Politics,none,217871,3278,0,1362,2020-03-27T23:13:52Z,"school,children,coronavirus school closures,trump,president trump,the press,press briefing,coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus presser,coronavirus task force,coronavirus updates,coronavirus white house press conference live,covid-19,covid-19 pandemic,outbreak,pandemic,trump coronavirus,trump coronavirus task force,fnc,fox news,fox news channel,fox news media,fox news network,education coronavirus",PT2M45S,hd,TRUE,https://i.ytimg.com/vi/fVpbMvz2auY/default.jpg,https://www.youtube.com/watch?v=fVpbMvz2auY
aSBWlKC7reM,UCXIJgqnII2ZOINSWNOGFThA,hhs sec azar provides an update on the coronavirus outbreak,Fox News,News & Politics,none,84299,1322,0,828,2020-03-09T15:38:11Z,"america's newsroom,health,health news,covid,covid 19,covid19,corona,coronavirus,coronavirus update",PT10M,hd,TRUE,https://i.ytimg.com/vi/aSBWlKC7reM/default.jpg,https://www.youtube.com/watch?v=aSBWlKC7reM
JNhc67mSmEM,UCXIJgqnII2ZOINSWNOGFThA,ny gov cuomo holds a press briefing on coronavirus  ,Fox News,News & Politics,none,125596,573,0,482,2020-04-06T16:55:51Z,"Fox News Channel,FNC,Fox News,News,Latest News,Top stories,New York,Andrew Cuomo,NY Governor Andrew Cuomo,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,viral disease,diseases,social distancing,white house,coronavirus relief bill",PT39M10S,hd,FALSE,https://i.ytimg.com/vi/JNhc67mSmEM/default.jpg,https://www.youtube.com/watch?v=JNhc67mSmEM
DbiCwYhZnGo,UCXIJgqnII2ZOINSWNOGFThA,tucker carlson tonight tries new rapid coronavirus test on air,Fox News,News & Politics,none,359518,8333,0,1726,2020-04-14T01:35:00Z,"tucker carlson coronavirus,smokers and coronavirus,tucker carlson marc siegel,abbott testing,rapid coronavirus testing,coronavirus testing,tucker carlson tonight coronavirus test,tucker carlson tonight rapid test,marc siegel,dr. marc seigel,marc siegel coronavirus tests,coronavirus outbreak,coronavirus update,abbott coronavirus testing,fnc,fox news,fox news channel,fox news media,fox news network,tucker,tucker carlson,tucker carlson tonight,tucker reacts",PT6M15S,hd,TRUE,https://i.ytimg.com/vi/DbiCwYhZnGo/default.jpg,https://www.youtube.com/watch?v=DbiCwYhZnGo
bf4WRdPnf4I,UCXIJgqnII2ZOINSWNOGFThA,gym owners reflect on coronavirus pandemic one year later,Fox News,News & Politics,none,9147,286,0,153,2021-03-16T11:15:03Z,"coronavirus,coronavirus pandemic,COVID-19,small businesses,small business,gym,business owners,US,United States,business,fox news channel,fox news,FNC,fox and friends first",PT5M18S,hd,TRUE,https://i.ytimg.com/vi/bf4WRdPnf4I/default.jpg,https://www.youtube.com/watch?v=bf4WRdPnf4I
iCz-flpshs4,UCXIJgqnII2ZOINSWNOGFThA,scalise on louisiana becoming the next possible epicenter for coronavirus,Fox News,News & Politics,none,68616,1136,0,683,2020-03-28T14:45:50Z,"Pete Hegseth,Hegseth,Fox and Friends,Weekend Fox and Friends,Griff Jenkins,steve scalise,scalise,coronavirus relief bill,relief bill,coronavirus stimulus package,Louisiana,louisiana coronavirus,coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus presser,coronavirus updates,covid-19,covid-19 pandemic,outbreak,pandemic,fnc,fox news,fox news channel,fox news media,fox news network,covid-19 outbreak,trump administration coronavirus",PT4M6S,hd,TRUE,https://i.ytimg.com/vi/iCz-flpshs4/default.jpg,https://www.youtube.com/watch?v=iCz-flpshs4
IwpM0n8Hspg,UCXIJgqnII2ZOINSWNOGFThA,biden to discuss developing a coronavirus vaccine,Fox News,News & Politics,none,92748,646,0,3326,2020-09-16T20:26:27Z,"Fox News Channel,Fox News,News,FNC,live,live stream,livestream,fox news live,fox news live stream,fox live,fox live stream,biden,joe biden,biden 2020,joe biden 2020,biden campaign,harris,kamala harris,joe biden kamala harris,biden harris,biden harris 2020,biden kamala harris,election,2020 election,presidential election,election news",PT26M28S,hd,FALSE,https://i.ytimg.com/vi/IwpM0n8Hspg/default.jpg,https://www.youtube.com/watch?v=IwpM0n8Hspg
hIpCSt6NUJg,UCXIJgqnII2ZOINSWNOGFThA,ingraham what we still dont know about coronavirus pandemic,Fox News,News & Politics,none,289226,6386,0,1939,2020-03-18T03:40:19Z,"Fox News Channel,Fox News,News,opinion,the ingraham angle,ingraham angle,laura ingraham,ingraham,ingraham monologue,laura ingraham monologue,laura ingraham angle,ingraham the angle,china,china virus,wuhan,wuhan virus,coronavirus,fox news coronavirus,coronavirus pandemic,pandemic,covid-19,covid 19,coronavirus in the us,us coronavirus,coronavirus facts,covid-19 facts,coronavirus testing,coronavirus outbreak,corona virus,coronavirus response",PT8M9S,hd,TRUE,https://i.ytimg.com/vi/hIpCSt6NUJg/default.jpg,https://www.youtube.com/watch?v=hIpCSt6NUJg
J0Kavkyn46U,UCXIJgqnII2ZOINSWNOGFThA,dr fauci testifies before senate on coronavirus response,Fox News,News & Politics,none,456955,3092,0,1916,2020-05-12T18:40:27Z,"fnc,fox news,fox news channel,fox news media,fox news network,Fox News live,Fox News senate testimony,Fox News Fauci live,Dr. Fauci,Anthony Fauci,Dr. Anthony Fauci,Fox News live fauci senate,Dr. Fauci testify,senate coronavirus hearing,coronavirus,pandemic,coronavirus outbreak,coronavirus pandemic,coronavirus presser,coronavirus updates,covid-19,fauci senate,fauci senate hearing,fauci testimony",PT3H32M41S,hd,FALSE,https://i.ytimg.com/vi/J0Kavkyn46U/default.jpg,https://www.youtube.com/watch?v=J0Kavkyn46U
Kx5I3fM6Rws,UCXIJgqnII2ZOINSWNOGFThA,how are businesses developing one year into coronavirus pandemic,Fox News,News & Politics,none,10374,256,0,115,2021-03-12T12:15:00Z,"fox news channel,FNC,coronavirus,coronavirus pandemic,pandemic,COVID-19,covid,businesses,small business,coronavirus lockdown,California,Florida,business owners,fox and friends first today,jillian mele",PT4M42S,hd,TRUE,https://i.ytimg.com/vi/Kx5I3fM6Rws/default.jpg,https://www.youtube.com/watch?v=Kx5I3fM6Rws
8506miurvpQ,UCXIJgqnII2ZOINSWNOGFThA,nurses write to tucker sharing experiences facing coronavirus pandemic,Fox News,News & Politics,none,88420,1789,0,861,2020-03-28T01:08:09Z,"health,nurses,nurses coroanvirus,COVID-19 nurses,nurse letters,tucker carlson coronavirus,coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus updates,covid-19,covid-19 pandemic,outbreak,pandemic,trump coronavirus,fnc,fox news,fox news channel,fox news media,fox news network,carlson,tucker,tucker carlson,tucker carlson tonight,tucker reacts,tucker tonight,nurses in nyc,nyc pandemic,coronavirus new york",PT2M39S,hd,TRUE,https://i.ytimg.com/vi/8506miurvpQ/default.jpg,https://www.youtube.com/watch?v=8506miurvpQ
_HGTvjC0xrw,UCXIJgqnII2ZOINSWNOGFThA,nj lowers flags to halfstaff indefinitely to honor coronavirus deaths,Fox News,News & Politics,none,46567,635,0,582,2020-04-05T12:08:06Z,"politics,Fox News Channel,Fox News,FNC,news,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,viral disease,diseases,social distancing,white house,coronavirus relief bill,Jeff Van Drew",PT4M29S,hd,TRUE,https://i.ytimg.com/vi/_HGTvjC0xrw/default.jpg,https://www.youtube.com/watch?v=_HGTvjC0xrw
7voTUuVT5i4,UCXIJgqnII2ZOINSWNOGFThA,hong kong scientist claiming china covered up coronavirus data speaks out,Fox News,News & Politics,none,2864407,56349,0,13055,2020-07-13T20:20:40Z,"health,Fox News Exclusive,Bill Hemmer Reports,Bill Hemmer,Bill Hemmer Li-Meng,Li-Meng,Li-Meng Yan,Fox News Hong Kong Doctor,Hong Kong Doctor,Honk Kong Beijing,fnc,fox news,fox news channel,fox news media,fox news network,fox new beijing coronavirus,Hong Kong researcher,Fox News Hong Kong researcher,hong kong scientist,fox news beijing,hong kong protest,coronavirus,fox news coronavirus pandemic,pandemic,COVID-19,COVID-19 pandemic",PT5M43S,hd,TRUE,https://i.ytimg.com/vi/7voTUuVT5i4/default.jpg,https://www.youtube.com/watch?v=7voTUuVT5i4
tBjYLo0xZzI,UCXIJgqnII2ZOINSWNOGFThA,when to expect your coronavirus stimulus check  fox news rundown podcast,Fox News,News & Politics,none,339554,4400,0,1389,2020-04-01T15:00:26Z,"Fox News Channel,Fox News,coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus updates,covid-19,covid-19 pandemic,trump coronavirus,trump coronavirus task force,coronavirus stimulus bill,donald trump,coronavirus relief bill,coronavirus stimulus package,stimulus package,coronavirus stimulus,coronavirus bill,president trump,white house,stimulus checks,fox news rundown podcast,who gets coronavirus stimulus money,coronavirus news,stimulus bill",PT27M,hd,FALSE,https://i.ytimg.com/vi/tBjYLo0xZzI/default.jpg,https://www.youtube.com/watch?v=tBjYLo0xZzI
dmpbWUt338I,UCXIJgqnII2ZOINSWNOGFThA,trump coronavirus task force hold white house press briefing,Fox News,News & Politics,none,1048967,11904,0,2601,2020-04-04T22:11:39Z,"Fox News Channel,FNC,Fox News,News,Latest News,Top stories,coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus presser,coronavirus task force,coronavirus updates,coronavirus white house press conference live,covid-19,covid-19 pandemic,fox news coronavirus trump briefing live,fox news live,fox news white house briefing live,outbreak,pandemic,trump coronavirus,trump coronavirus task force,Fox News live coronavirus press briefing,fauci,birx",PT1H42M12S,hd,TRUE,https://i.ytimg.com/vi/dmpbWUt338I/default.jpg,https://www.youtube.com/watch?v=dmpbWUt338I
SZpNe53WFEc,UCXIJgqnII2ZOINSWNOGFThA,former medical director of the peace corps hails us response to coronavirus pandemic,Fox News,News & Politics,none,64115,966,0,431,2020-03-17T03:59:44Z,"special,fox news @ night,health,Fox News Channel,Fox News,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,coronavirus quarantine,virus,diseases,Chinese government,viral disease",PT4M16S,hd,TRUE,https://i.ytimg.com/vi/SZpNe53WFEc/default.jpg,https://www.youtube.com/watch?v=SZpNe53WFEc
LmNOVFozyjo,UCXIJgqnII2ZOINSWNOGFThA,how are big cities and large states handling the coronavirus outbreak,Fox News,News & Politics,none,112272,1237,0,443,2020-03-13T03:27:49Z,"politics,fox news @ night,personality,health|infectious_disease,health|infectious_disease|coronavirus,health,politics|state_local,primary_us,health|infectious_disease|outbreaks,personality|shannon_bream,on_air,on_air|fox_news_@night",PT6M28S,hd,TRUE,https://i.ytimg.com/vi/LmNOVFozyjo/default.jpg,https://www.youtube.com/watch?v=LmNOVFozyjo
3kdKucsmOpI,UCXIJgqnII2ZOINSWNOGFThA,la county probing potential spread of new coronavirus strain,Fox News,News & Politics,none,72171,1224,0,1136,2020-12-26T21:15:20Z,"Fox News Channel,Fox News,News,Dr Marc Siegel,covid 19 new strain,London coronavirus strain,B117,Coronavirus,Coronavirus treatment,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,coronavirus quarantine,social distancing,coronavirus relief bill,coronavirus peak,coronavirus vaccine,vaccines,medical supplies",PT3M40S,hd,TRUE,https://i.ytimg.com/vi/3kdKucsmOpI/default.jpg,https://www.youtube.com/watch?v=3kdKucsmOpI
1my36mbUFLM,UCXIJgqnII2ZOINSWNOGFThA,the queen addresses the uk on coronavirus,Fox News,News & Politics,none,221614,4717,0,1282,2020-04-05T19:08:24Z,"Fox News Channel,FNC,Fox News,News,Latest News,Top stories,The Queen,Fox News live stream,Queen Elizabeth II,Queen Elizabeth live,Queen Elizabeth address,United Kingdom,Britian,UK,coronavirus UK,Queen Elizabeth coronavirus address,Coronavirus,Coronavirus treatment,public health,public health crisis,covid 19,coronavirus cases,global health,social distancing,virus,coronavirus quarantine,Royal family,Queen Elizabeth UK coronavirus",PT3M35S,hd,FALSE,https://i.ytimg.com/vi/1my36mbUFLM/default.jpg,https://www.youtube.com/watch?v=1my36mbUFLM
0sDAuWZPR-4,UCXIJgqnII2ZOINSWNOGFThA,hannity facts without fear amid coronavirus pandemic,Fox News,News & Politics,none,246803,5592,0,2286,2020-03-21T02:56:21Z,"Fox News Channel,FNC,Fox News,News,Latest News,Top stories,Sean Hannity,Hannity,Sean Hannity Monologue,Hannity Monologue,Sean Hannity Monologue TOnight,Hannity Monologue Tonight,Hannity china,hannity coronavirus,coronavirus outbreak,coronavirus pandemic,national emergency trump,china government lies,china goverment covers up coronavirus,china,dr. fauci,anthony fauci,dr. anthony fauci,hannity tonight,media coronavirus,joe biden,covid 19",PT16M46S,hd,FALSE,https://i.ytimg.com/vi/0sDAuWZPR-4/default.jpg,https://www.youtube.com/watch?v=0sDAuWZPR-4
KQ7zcL2Wlx0,UCXIJgqnII2ZOINSWNOGFThA,same coronavirus variant found in uk has been discovered in colorado co governor,Fox News,News & Politics,none,127087,676,0,1635,2020-12-29T22:01:37Z,"Fox News breaking news,breaking news,breaking,breaking news covid,coronavirus,UK coronavirus variant,colorado covid 19,colorado coronavirus,Colorado Gov. Jared Polis,Gov. Jared Polis,fox news Gov. Jared Polis,Gov. Jared Polis coronavorus,jare polis,fox news jared polis,new coronavirus strain,new covid variant,colorado governor,uk covid-19,united kingdom covid 19,coronavirus variant,fox news,fox news channel,fox news media,fox news network,fnc",PT42S,hd,TRUE,https://i.ytimg.com/vi/KQ7zcL2Wlx0/default.jpg,https://www.youtube.com/watch?v=KQ7zcL2Wlx0
QYmzSVWezrw,UCXIJgqnII2ZOINSWNOGFThA,china kicks out us journalists amid coronavirus pandemic,Fox News,News & Politics,none,103734,1573,0,595,2020-03-17T22:28:17Z,"China,CHina Journailsm,Chinese Journalist,China revokes press credentials,china revokes credentials for US news,china controlled news,chinese news,china United states news,coronavirus pandemic,coronavirus outbreak,china news,wuhan virus,china kicks out journalits,china american journalists,fox news china journalists,wall street journal china,new york times china,fnc,fox news,fox news channel,fox news network,bret baier,bret baier special report",PT40S,hd,TRUE,https://i.ytimg.com/vi/QYmzSVWezrw/default.jpg,https://www.youtube.com/watch?v=QYmzSVWezrw
ZOfdGTvBs8A,UCXIJgqnII2ZOINSWNOGFThA,price of pandemic dc restaurant owner on financial cost of coronavirus protective measures,Fox News,News & Politics,none,60007,741,0,408,2020-03-18T05:07:09Z,"fox news @ night,lifestyle,us,Fox News Channel,Fox News,news,politics,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,coronavirus quarantine,virus,viral disease,diseases,social distancing,white house,covid 19,coronavirus cases,coronavirus pandemic,China,Chinese government,us health,global health",PT5M29S,hd,TRUE,https://i.ytimg.com/vi/ZOfdGTvBs8A/default.jpg,https://www.youtube.com/watch?v=ZOfdGTvBs8A
